park_name,branch_code,stage,strata,route_code,route_name,Time (start hour),Observed average frequency (oaf),p75_oaf,max_route_fare,target_freq_route,calculated_payments
Busega Taxi Park,-13,Nansana Wakiso,E,nans_waki_buse,Wakiso town,9,42.8333333333333,45.5,4000,25,6.307692307692308
Busega Taxi Park,-13,Nansana Wakiso,E,nans_waki_buse,Wakiso town,10,57.125,78.25,4000,25,9.527156549520766
Busega Taxi Park,-13,Nansana Wakiso,E,nans_waki_buse,Wakiso town,11,48.6666666666667,61,4000,25,8.262295081967213
Busega Taxi Park,-13,Nansana Wakiso,E,nans_waki_buse,Wakiso town,12,51.5555555555556,77,4000,25,9.454545454545455
Busega Taxi Park,-15,Entebbe Express,F,ente_expr_buse,kitooro via Express,14,34.5,40,5000,15,8.75
Busega Taxi Park,-15,Entebbe Express,F,ente_expr_buse,kitooro via Express,15,36.9166666666667,54.25,5000,15,10.129032258064516
Busega Taxi Park,-15,Entebbe Express,F,ente_expr_buse,kitooro via Express,16,32.1818181818182,43,5000,15,9.116279069767442
Busega Taxi Park,-15,Entebbe Express,F,ente_expr_buse,kitooro via Express,17,36.4,42.5,5000,15,9.058823529411764
Busega Taxi Park,-15,Entebbe Express,F,ente_kajj_buse,Kitooro via Kajjansi,14,31.25,35.5,5000,25,4.140845070422535
Busega Taxi Park,-15,Entebbe Express,F,ente_kajj_buse,Kitooro via Kajjansi,15,49.4444444444444,75,5000,25,9.333333333333334
Busega Taxi Park,-15,Entebbe Express,F,ente_kajj_buse,Kitooro via Kajjansi,16,60,76.25,5000,25,9.40983606557377
Busega Taxi Park,-15,Entebbe Express,F,ente_kajj_buse,Kitooro via Kajjansi,17,40.2,52.25,5000,25,7.301435406698565
Busega Taxi Park,-19,Mukono,B,muko_muko_buse,Mukono Wantoni,9,40,44,6000,30,4.454545454545454
Busega Taxi Park,-19,Mukono,B,muko_muko_buse,Mukono Wantoni,10,71.5,91.5,6000,30,9.40983606557377
Busega Taxi Park,-19,Mukono,B,muko_muko_buse,Mukono Wantoni,11,52.8,63.5,6000,30,7.3858267716535435
Busega Taxi Park,-19,Mukono,B,muko_muko_buse,Mukono Wantoni,12,58.8333333333333,62.25,6000,30,7.253012048192771
Busega Taxi Park,-19,Mukono,B,muko_muko_buse,Mukono Wantoni,13,55.6666666666667,60.5,6000,30,7.0578512396694215
Busega Taxi Park,-19,Mukono,B,muko_muko_buse,Mukono Wantoni,14,63.2857142857143,77.5,6000,30,8.580645161290322
Busega Taxi Park,-19,Mukono,B,muko_muko_buse,Mukono Wantoni,15,78,93.75,6000,30,9.520000000000001
Busega Taxi Park,-19,Mukono,B,muko_muko_buse,Mukono Wantoni,16,77.5714285714286,95,6000,30,9.578947368421051
Busega Taxi Park,-19,Mukono,B,muko_muko_buse,Mukono Wantoni,17,68,76,6000,30,8.473684210526315
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_buwa_buse,Buwambo,10,54,56,6000,35,5.25
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_buwa_buse,Buwambo,11,76.75,87,6000,35,8.367816091954023
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_buwa_buse,Buwambo,12,54.5,56.25,6000,35,5.288888888888889
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_buwa_buse,Buwambo,13,77.3333333333333,96,6000,35,8.895833333333334
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_buwa_buse,Buwambo,14,66.5,85.25,6000,35,8.252199413489736
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_buwa_buse,Buwambo,15,95.75,101,6000,35,9.14851485148515
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_buwa_buse,Buwambo,16,91.75,117,6000,35,9.811965811965813
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_buwa_buse,Buwambo,17,77.5,90.75,6000,35,8.600550964187327
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_naka_buse,Nakasajja,10,54,56,5000,35,5.25
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_naka_buse,Nakasajja,11,76.75,87,5000,35,8.367816091954023
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_naka_buse,Nakasajja,12,54.5,56.25,5000,35,5.288888888888889
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_naka_buse,Nakasajja,13,77.3333333333333,96,5000,35,8.895833333333334
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_naka_buse,Nakasajja,14,66.5,85.25,5000,35,8.252199413489736
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_naka_buse,Nakasajja,15,95.75,101,5000,35,9.14851485148515
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_naka_buse,Nakasajja,16,91.75,117,5000,35,9.811965811965813
Busega Taxi Park,-20,Gayaza Nakasajja,B,gaya_naka_buse,Nakasajja,17,77.5,90.75,5000,35,8.600550964187327
Busega Taxi Park,-21,Mpigi,B,mpig_mpig_buse,Mpigi town,9,44,46.75,5000,30,5.016042780748663
Busega Taxi Park,-21,Mpigi,B,mpig_mpig_buse,Mpigi town,10,83,123,5000,30,10.585365853658535
Busega Taxi Park,-21,Mpigi,B,mpig_mpig_buse,Mpigi town,11,52.125,61.25,5000,30,7.142857142857142
Busega Taxi Park,-21,Mpigi,B,mpig_mpig_buse,Mpigi town,12,68.25,84.25,5000,30,9.014836795252226
Busega Taxi Park,-21,Mpigi,B,mpig_mpig_buse,Mpigi town,13,58.75,61.25,5000,30,7.142857142857142
Busega Taxi Park,-21,Mpigi,B,mpig_mpig_buse,Mpigi town,14,55,72.5,5000,30,8.206896551724137
Busega Taxi Park,-21,Mpigi,B,mpig_mpig_buse,Mpigi town,15,85.5,125,5000,30,10.64
Busega Taxi Park,-21,Mpigi,B,mpig_mpig_buse,Mpigi town,16,86.6666666666667,122,5000,30,10.557377049180328
Busega Taxi Park,-21,Mpigi,B,mpig_mpig_buse,Mpigi town,17,51,60,5000,30,7
Bwaise Taxi Park,132,Entebbe,F,ente_expr_bwai,Kitooro via Express,9,29.0833333333333,43.25,6000,20,7.526011560693641
Bwaise Taxi Park,132,Entebbe,F,ente_expr_bwai,Kitooro via Express,10,33.0833333333333,48,6000,20,8.166666666666668
Bwaise Taxi Park,132,Entebbe,F,ente_expr_bwai,Kitooro via Express,11,43.625,61.25,6000,20,9.428571428571429
Bwaise Taxi Park,132,Entebbe,F,ente_expr_bwai,Kitooro via Express,12,33.3333333333333,40,6000,20,7
Bwaise Taxi Park,132,Entebbe,F,ente_expr_bwai,Kitooro via Express,13,40.4545454545455,62,6000,20,9.483870967741936
Bwaise Taxi Park,132,Entebbe,F,ente_expr_bwai,Kitooro via Express,14,39.6666666666667,53.5,6000,20,8.766355140186915
Bwaise Taxi Park,132,Entebbe,F,ente_expr_bwai,Kitooro via Express,15,54.5,58.5,6000,20,9.213675213675215
Bwaise Taxi Park,132,Entebbe,F,ente_expr_bwai,Kitooro via Express,16,53,59.25,6000,20,9.274261603375528
Bwaise Taxi Park,132,Entebbe,F,ente_expr_bwai,Kitooro via Express,17,43.9,61.75,6000,20,9.465587044534413
Bwaise Taxi Park,132,Entebbe,F,ente_kajj_bwai,Kitooro via Kajjansi,9,37.5,55,6000,30,6.363636363636363
Bwaise Taxi Park,132,Entebbe,F,ente_kajj_bwai,Kitooro via Kajjansi,10,44.2857142857143,63.5,6000,30,7.3858267716535435
Bwaise Taxi Park,132,Entebbe,F,ente_kajj_bwai,Kitooro via Kajjansi,11,60.8571428571429,58.5,6000,30,6.820512820512821
Bwaise Taxi Park,132,Entebbe,F,ente_kajj_bwai,Kitooro via Kajjansi,12,62,64,6000,30,7.4375
Bwaise Taxi Park,132,Entebbe,F,ente_kajj_bwai,Kitooro via Kajjansi,13,67.3333333333333,85,6000,30,9.058823529411764
Bwaise Taxi Park,132,Entebbe,F,ente_kajj_bwai,Kitooro via Kajjansi,14,64.5,75.75,6000,30,8.455445544554454
Bwaise Taxi Park,132,Entebbe,F,ente_kajj_bwai,Kitooro via Kajjansi,15,52.8333333333333,63.25,6000,30,7.359683794466403
Bwaise Taxi Park,132,Entebbe,F,ente_kajj_bwai,Kitooro via Kajjansi,16,67.4,69,6000,30,7.91304347826087
Bwaise Taxi Park,132,Entebbe,F,ente_kajj_bwai,Kitooro via Kajjansi,17,52.7777777777778,72,6000,30,8.166666666666666
Bwaise Taxi Park,135,Busega Nsanji Kyengera,C,buse_maya_bwai,Maya,10,41.5,46.5,5000,30,4.967741935483871
Bwaise Taxi Park,135,Busega Nsanji Kyengera,C,buse_maya_bwai,Maya,11,70.5,92.5,5000,30,9.45945945945946
Bwaise Taxi Park,135,Busega Nsanji Kyengera,C,buse_maya_bwai,Maya,12,65.4285714285714,83,5000,30,8.939759036144578
Bwaise Taxi Park,135,Busega Nsanji Kyengera,C,buse_maya_bwai,Maya,13,59.2857142857143,75,5000,30,8.4
Bwaise Taxi Park,135,Busega Nsanji Kyengera,C,buse_maya_bwai,Maya,14,66.5,68.75,5000,30,7.8909090909090915
Bwaise Taxi Park,135,Busega Nsanji Kyengera,C,buse_maya_bwai,Maya,15,59.3333333333333,74.5,5000,30,8.36241610738255
Bwaise Taxi Park,135,Busega Nsanji Kyengera,C,buse_maya_bwai,Maya,16,62.1666666666667,76.75,5000,30,8.527687296416937
Bwaise Taxi Park,135,Busega Nsanji Kyengera,C,buse_maya_bwai,Maya,17,62.25,65.25,5000,30,7.563218390804598
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,kajj_kajj_bwai,Kajjansi Town,10,57.5,62.75,4000,40,5.075697211155378
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,kajj_kajj_bwai,Kajjansi Town,11,77.3333333333333,90.75,4000,40,7.8292011019283745
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,kajj_kajj_bwai,Kajjansi Town,12,89.2,109,4000,40,8.862385321100918
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,kajj_kajj_bwai,Kajjansi Town,13,81.6,96,4000,40,8.166666666666668
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,kajj_kajj_bwai,Kajjansi Town,14,91.5,101.25,4000,40,8.469135802469134
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,kajj_kajj_bwai,Kajjansi Town,15,88,105,4000,40,8.666666666666666
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,kajj_kajj_bwai,Kajjansi Town,16,116.333333333333,141.5,4000,40,10.042402826855124
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,kajj_kajj_bwai,Kajjansi Town,17,62.5714285714286,65.5,4000,40,5.450381679389313
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_aide_bwai,Aiden,12,56,56,4000,30,6.5
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_aide_bwai,Aiden,13,68,68,4000,30,7.823529411764706
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_aide_bwai,Aiden,17,64,64,4000,30,7.4375
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_lubu_bwai,Lubugumu,10,56.6666666666667,64,4000,40,5.25
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_lubu_bwai,Lubugumu,11,79.3333333333333,95,4000,40,8.105263157894736
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_lubu_bwai,Lubugumu,12,82.5,95.75,4000,40,8.151436031331594
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_lubu_bwai,Lubugumu,13,108.666666666667,129,4000,40,9.65891472868217
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_lubu_bwai,Lubugumu,14,105,111,4000,40,8.954954954954955
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_lubu_bwai,Lubugumu,16,102.5,105.5,4000,40,8.691943127962086
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_lubu_bwai,Lubugumu,17,57.6666666666667,61.5,4000,40,4.894308943089431
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_zana_bwai,Zzana,10,56.6666666666667,64,3000,40,5.25
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_zana_bwai,Zzana,11,69,87,3000,40,7.563218390804598
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_zana_bwai,Zzana,12,89.2,109,3000,40,8.862385321100918
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_zana_bwai,Zzana,13,82.25,96.5,3000,40,8.196891191709843
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_zana_bwai,Zzana,14,94,101,3000,40,8.455445544554456
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_zana_bwai,Zzana,15,121,121.5,3000,40,9.390946502057613
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_zana_bwai,Zzana,16,95.2,94,3000,40,8.042553191489361
Bwaise Taxi Park,137_and_-7,Kajjansi / Namasuba,C,nama_zana_bwai,Zzana,17,62.5714285714286,65.5,3000,40,5.450381679389313
Bwaise Taxi Park,87,Mukono Lugazi,F,muko_muko_bwai,Mukono wantoni,12,32.6363636363636,48,4000,15,9.625
Bwaise Taxi Park,87,Mukono Lugazi,F,muko_muko_bwai,Mukono wantoni,13,31.2727272727273,39,4000,15,8.615384615384615
Bwaise Taxi Park,87,Mukono Lugazi,F,muko_muko_bwai,Mukono wantoni,14,43.875,52,4000,15,9.961538461538462
Bwaise Taxi Park,87,Mukono Lugazi,F,muko_muko_bwai,Mukono wantoni,15,28.5333333333333,35.5,4000,15,8.08450704225352
Bwaise Taxi Park,89,Busabala,C,busa_busa_bwai,Busabala,9,75.5,81.25,4000,45,6.246153846153846
Bwaise Taxi Park,89,Busabala,C,busa_busa_bwai,Busabala,10,71.25,94.5,4000,45,7.333333333333333
Bwaise Taxi Park,89,Busabala,C,busa_busa_bwai,Busabala,11,104.75,110.25,4000,45,8.285714285714285
Bwaise Taxi Park,89,Busabala,C,busa_busa_bwai,Busabala,12,87,116.25,4000,45,8.580645161290324
Bwaise Taxi Park,89,Busabala,C,busa_busa_bwai,Busabala,13,57,67.5,4000,45,4.666666666666667
Bwaise Taxi Park,89,Busabala,C,busa_busa_bwai,Busabala,14,87.25,104,4000,45,7.942307692307692
Bwaise Taxi Park,89,Busabala,C,busa_busa_bwai,Busabala,15,92.6,99,4000,45,7.636363636363636
Bwaise Taxi Park,89,Busabala,C,busa_busa_bwai,Busabala,16,92,121,4000,45,8.793388429752067
Bwaise Taxi Park,89,Busabala,C,busa_busa_bwai,Busabala,17,110.666666666667,124,4000,45,8.919354838709678
Bwaise Taxi Park,90,Buloba bulenga Bujjuko,B,bulo_bujj_bwai,Bujjuko,14,102.25,112.75,5000,40,9.033259423503326
Bwaise Taxi Park,90,Buloba bulenga Bujjuko,B,bulo_bujj_bwai,Bujjuko,15,78.6,83,5000,40,7.253012048192771
Bwaise Taxi Park,90,Buloba bulenga Bujjuko,B,bulo_bujj_bwai,Bujjuko,16,78.1428571428571,99,5000,40,8.343434343434343
Bwaise Taxi Park,90,Buloba bulenga Bujjuko,B,bulo_bujj_bwai,Bujjuko,17,72.75,101.25,5000,40,8.469135802469134
Bwaise Taxi Park,92,Nansana-wakiso-Kakiri-Gobero,C,nans_gobe_bwai,Gobero,10,50,63,5000,25,8.444444444444445
Bwaise Taxi Park,92,Nansana-wakiso-Kakiri-Gobero,C,nans_gobe_bwai,Gobero,11,51.1666666666667,58.5,5000,25,8.017094017094017
Bwaise Taxi Park,92,Nansana-wakiso-Kakiri-Gobero,C,nans_gobe_bwai,Gobero,12,54,59.5,5000,25,8.117647058823529
Bwaise Taxi Park,92,Nansana-wakiso-Kakiri-Gobero,C,nans_gobe_bwai,Gobero,13,47.8571428571429,60.5,5000,25,8.214876033057852
Bwaise Taxi Park,92,Nansana-wakiso-Kakiri-Gobero,C,nans_gobe_bwai,Gobero,14,71.1666666666667,69,5000,25,8.927536231884059
Bwaise Taxi Park,92,Nansana-wakiso-Kakiri-Gobero,C,nans_gobe_bwai,Gobero,15,53.25,60.75,5000,25,8.238683127572017
Bwaise Taxi Park,92,Nansana-wakiso-Kakiri-Gobero,C,nans_gobe_bwai,Gobero,16,44,63,5000,25,8.444444444444445
Bwaise Taxi Park,92,Nansana-wakiso-Kakiri-Gobero,C,nans_gobe_bwai,Gobero,17,62.2,68,5000,25,8.852941176470587
Nakawa Taxi Park,73,Ntinda,A,ntin_ntin_naka,Ntinda kumuzikiti,9,43.5714285714286,51.5,1000,20,8.563106796116504
