taxi_park,stage,branch_code,strata
Nakawa Taxi Park,Ntinda,73,A
Valley Park,Namasuba Zana,8,A
Busega Taxi Park,Mukono,-19,B
Busega Taxi Park,Gayaza Nakasajja,-20,B
Bwaise Taxi Park,Buloba bulenga Bujjuko,90,B
Bwaise Taxi Park,Busega Nsanji Kyengera,135,C
Bwaise Taxi Park,Kajjansi / Namasuba,137_and_-7,C
Bwaise Taxi Park,Busabala,89,C
Bwaise Taxi Park,Nansana-wakiso-Kakiri-Gobero,92,C
Nateete Taxi Park,Bwaise Kawempe Bombo Luwero,-9,D
Nateete Taxi Park,Zana Ndejje Namasuba,75,D
Nateete Taxi Park,Mukono Seeta,77,D
Nateete Taxi Park,Nansana Wakiso,82,D
Busega Taxi Park,Nansana Wakiso,-13,E
Valley Park,Nateete Kyengera Nsangi Maya,7,E
Busega Taxi Park,Entebbe Express,-15,F
Bwaise Taxi Park,Entebbe,132,F
Bwaise Taxi Park,Mukono Lugazi,87,F
Nateete Taxi Park,Entebbe Kajjansi,79,F
