taxi_park,stage,branch_code,strata,group
Nakawa Taxi Park,Ntinda,73,A,Control
Valley Park,Namasuba Zana,8,A,Treatment
Busega Taxi Park,Mukono,-19,B,Control
Busega Taxi Park,Gayaza Nakasajja,-20,B,Control
Bwaise Taxi Park,Buloba bulenga Bujjuko,90,B,Treatment
Bwaise Taxi Park,Busega Nsanji Kyengera,135,C,Treatment
Bwaise Taxi Park,Kajjansi / Namasuba,137_and_-7,C,Control
Bwaise Taxi Park,Busabala,89,C,Control
Bwaise Taxi Park,Nansana-wakiso-Kakiri-Gobero,92,C,Treatment
Nateete Taxi Park,Bwaise Kawempe Bombo Luwero,-9,D,Treatment
Nateete Taxi Park,Zana Ndejje Namasuba,75,D,Treatment
Nateete Taxi Park,Mukono Seeta,77,D,Control
Nateete Taxi Park,Nansana Wakiso,82,D,Control
Busega Taxi Park,Nansana Wakiso,-13,E,Treatment
Valley Park,Nateete Kyengera Nsangi Maya,7,E,Control
Busega Taxi Park,Entebbe Express,-15,F,Control
Bwaise Taxi Park,Entebbe,132,F,Control
Bwaise Taxi Park,Mukono Lugazi,87,F,Treatment
Nateete Taxi Park,Entebbe Kajjansi,79,F,Treatment
